kedb_parent_name,kedb_child_name,app_name,old_kedb,new_symtom_kedb,new_specific_symtom_kedb,kedb_finalisasi,action,responsibility_action,sop
,,MEA,,,,[]MEA[]Not_Case_MEA[]Add_Paket[]Complaint,,,
,,MEA,,,,[]MEA[]Not_Case_MEA[]Gagal_Deaktivasi[]Complaint,,,
,,MEA,,,,[]MEA[]Not_Case_MEA[]Gagal_Set_Account[]Complaint,,,
,,MEA,,,,[]MEA[]Not_Case_MEA[]Kendala_Termintate[]Complaint,,,
,,MEA,,,,[]MEA[]Not_Case_MEA[]Miss_Assigned_Wrong_Apps[]Complaint,,,
,,MEA,,,,[]MEA[]OrderChangeOwnership_MassCreateBillingProfile_Failed[]ValidateLogtoCRM[]Complaint,,,
,,MEA,,,,[]MEA[]OrderFutureAction_Failed[]ValidateLogtoSurrounding[]Complaint,,,
,,MEA,,,,[]MEA[]OrderPretoPost[]Validate_PRO[]Complaint,,,
,,MEA,,,,[]MEA[]Prepaid_Registration_Failed[]Cek_Error_Prepaid_Registration[]Complaint,,,
,,MEA,,,,[]MEA[]Provice_Traffic_Statistic[]Order_PSB[]Complaint,,,
,,MEA,,,,[]MEA[]Provice_Traffic_Statistic[]Order_PSB[]Request,,,
,,MEA,,,,"[]MEA[]Re-Establishment_Order_inprogress[]Mass Activation Full Product[]Complaint",,,
,,MEA,,,,[]MEA[]Retry_Payment[]Saldo_Virtual_Account[]Complaint,,,
,,MEA,,,,[]MEA[]Saldo_Tidak_Masuk_VA_MEC[]Virtual_Account[]Complaint,,,
,,MEA,,,,[]MEA[]Status_Order_Inprogress[]Mass_Billing_Profile[]Complaint,,,
,,MEA,,,,[]MEA[]Stuck_Order[]Registrasi_PIC[]Complaint,,,
,,MEA,,,,[]MEA[]Update_CLS_IR_Failed[]Update_CLS_IR_Failed[]Complaint,,,
,,MEA,,,,[]MEA[]User_Add[]MEA[]Complaint,,,
,,MEA,,,,[]MEA[]User_Add[]SAFORA[]Complaint,,,
,,MEA,,,,[]MEA[]VA_Request[]Validate_L2_APP-MEA[]Complaint,,,
,,MEA,,,,[]MEA[]VALIDATE_MSISDN_Order_inprogress[]VALIDATE_MSISDN_Cek_External_Mass_ID[]Complaint,,,
,,MEA,,,,[]MEA[]Validate_Transaction[]ChangeOwnership_Order_Failed[]Complaint,,,
,,MEA,,,,[]MEA[]Waybill_Belum_Muncul[]Cek_Order_Simcard[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]ADD_Whitelist_B2B[]After_Migrasi_MEC_From_L2[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Anomaly_Source[]Compare_Mepro_to_BI_Rafm[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Check_History_Transaction[]Request_Provide_Data_Report[]Request,,,
,,MEPRO,,,,[]MEPRO[]Gagal_Add_Package_Anumber[]Insufficient_Credit[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Gagal_Add_Package_Anumber[]Provide&Validate_Detail_Code[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Gagal_BroadcastSMS[]Prefix_Msisdn_Non_Tsel[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Gagal_BroadcastSMS[]Validate_Transaction[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Gagal_Gift_Package[]After_Migrasi_MEC_From_L2[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Gagal_Inject_Package_Bnumber[]Provide&Validate_Detail_Code_Subscriber_Customer_Type[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Gagal_Inject_Package_Bnumber[]Provide&Validate_Detail_Code_Subscriber_Location[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Gagal_Inject_Package_Bnumber[]Provide&Validate_Detail_Code_Subscriber_LOS[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Gagal_Inject_Package_Bnumber[]Provide&Validate_Detail_Code_Subscriber_Not_Eligible_To_ByU_Brand[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Gagal_Inject_Package_Bnumber[]Provide&Validate_Detail_Code_Subscriber_Whitelist[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Gagal_Inject_Package_Bnumber[]Validate_Detail_Code_Subscriber_Bulk_Not_Found[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Gagal_Inject_Package_Bnumber_Batch[]Provide&Validate_Detail_Code_Partcial_Failed[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Kendala_User_Access[]Unlock_Status_User[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Missed_Assigned[]Check_Result_Not_Found[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Tidak_Terdapat_Menu_Gift[]After_Migrasi_MEC_From_L2[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Undefined[]Identify_Case[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Unsync_Benefit_Package[]Provide&Validate_Surrounding[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Unsync_Name_Package[]After_Migrasi_MEC_From_L2[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Unsync_Tagihan_Dan_Transaction_Succes[]Check_History_Transaction[]Complaint,,,
,,MEPRO,,,,[]MEPRO[]Update_Email_User[]Update_Data[]Request,,,
,,MEPRO,,,,[]MEPRO[]User_Tidak_Bisa_Login[]After_Migrasi_MEC_From_L2[]Complaint,,,
,,TOPUPCORPORATE,,,,[]TOPUPCORPORATE[]Cancel_Scheduler[]Delete_SchedulerId[]Request,,,
,,TOPUPCORPORATE,,,,[]TOPUPCORPORATE[]Check_History_Transaction[]Request_Provide_Data_Report[]Request,,,
,,TOPUPCORPORATE,,,,[]TOPUPCORPORATE[]Gagal_Inject_Pulsa_B2BNumber[]Provide&Validate_Detail_Code_3:21[]Complaint,,,
,,TOPUPCORPORATE,,,,[]TOPUPCORPORATE[]Gagal_Inject_Pulsa_B2BNumber[]Provide&Validate_Detail_Code_FCheckB#_107[]Complaint,,,
,,TOPUPCORPORATE,,,,[]TOPUPCORPORATE[]Gagal_Inject_Pulsa_B2BNumber[]Provide&Validate_Detail_Code_FCheckB#_17[]Complaint,,,
,,TOPUPCORPORATE,,,,[]TOPUPCORPORATE[]Gagal_Inject_Pulsa_B2BNumber[]Provide&Validate_Detail_Code_NGRS_No_Transaction_Found[]Complaint,,,
,,TOPUPCORPORATE,,,,[]TOPUPCORPORATE[]Gagal_Inject_Pulsa_B2BNumber_Batch[]Provide&Validate_Detail_Code_Partcial_Failed[]Complaint,,,
,,TOPUPCORPORATE,,,,[]TOPUPCORPORATE[]Missed_Assigned[]Check_Result_Not_Found[]Complaint,,,
,,TOPUPCORPORATE,,,,[]TOPUPCORPORATE[]Undefined[]Identify_Case[]Complaint,,,
,,TOPUPCORPORATE,,,,[]TOPUPCORPORATE[]Selisih_Tagihan[]Provide&Validate_Surrounding[]Complaint,,,
,,TOPUPCORPORATE,,,,[]TOPUPCORPORATE[]User_Gagal_Akses_Web_GUI[]Check_Status_User[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Knowledge_Data_Outlet[]Data[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]RS/Outlet/User_Hilang[]Data[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Data_Tidak_Sesuai[]Data[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Add_RS/Outlet[]Data[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Add_SF[]Data[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Delete_RS/Outlet/User[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Delete_PJP[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_TP[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_Fisik_Outlet[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_Nomor_Konfirmasi[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_Role_User[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_Data_RS/Outlet[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_Data_SF[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_Data_DSI[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Delete_Agenda_Digipos[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_user_payment[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_Nama_Outlet[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_Longlat[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_NonFisik_Outlet[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Preferred_Notification_SMS[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_Territory_Outlet[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_Nomor_Rekening[]Data[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Product_Allocation[]DISTRIBUSI[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Product_Booking[]DISTRIBUSI[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_IMEI[]DISTRIBUSI[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Sellout[]DISTRIBUSI[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Product_Recall[]DISTRIBUSI[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Scan_Barcode[]DISTRIBUSI[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Alokasi_Belum_Masuk[]DISTRIBUSI[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]DO_Belum_masuk[]DISTRIBUSI[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Stock_Tidak_Sesuai[]DISTRIBUSI[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]SN_Not_Found[]DISTRIBUSI[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Digistar_Sellout_Tidak_Sesuai[]DISTRIBUSI[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Digistar_Sellout_Tidak_Masuk[]DISTRIBUSI[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Migration_DO[]DISTRIBUSI[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Transaksi_INIT[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Saldo_Terpotong[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Produk_Tidak_Tersedia/Tidak_Berhak[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Sukses_Kuota_Tidak_Masuk[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Lainnya[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Saldo_Terpotong_Double[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Poin_Belum_Masuk[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Transaksi_DIPROSES[]TrxPaket[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Paket_Tidak_Muncul[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Error_100[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Transaksi_Gamemax_Gagal[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Transaksi_Umroh_Gagal[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_FRS01[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Saldo_NGRS_Tidak_Cukup[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Perubahan_Tanggal_Reservasi_RoaMAX[]TrxPaket[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Diamond_Belum_Masuk[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Poin_Belum_Masuk_BATCH[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Transaksi_Inprogress[]TrxPaket[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Transaksi_Diproses[]TrxPulsa[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Produk_Tidak_Tersedia/Tidak_Berhak[]TrxPulsa[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Pulsa_Tidak_Masuk[]TrxPulsa[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Lainnya[]TrxPulsa[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Saldo_Terpotong[]TrxPulsa[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Saldo_Terpotong_Double[]TrxPulsa[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Transaksi_Gagal[]TrxPulsa[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Transaksi_Tidak_Ditemukan[]TrxPulsa[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Komplain_Selisih_Harga[]TrxPulsa[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Trx_Sukses_Pulsa_Tidak_Masuk[]TrxPulsa[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Trx_DIPROSES[]TrxPulsa[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Tidak_Dapat_TRX_181[]Tmenu[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Tidak_Dapat_Laporan/SMS_TRX[]Tmenu[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Lainnya[]Tmenu[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_TRX_UMB[]Tmenu[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Kuota_Tidak_Masuk[]InjectVF[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Paket_Tidak_Muncul[]InjectVF[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Lainnya[]InjectVF[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Lokasi_Tidak_Sesuai[]InjectVF[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Kuota_Tidak_Sesuai[]InjectVF[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Saldo_Terpotong[]InjectVF[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Inject_DIPROSES[]InjectVF[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Paket_Tidak_Sesuai[]InjectVF[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]VF_GAGAL_BATCH[]InjectVF[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Inject_GAGAL[]InjectVF[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Inject_INIT[]InjectVF[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Tidak_Bisa_Trx_VF[]InjectVF[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Migrasi_INIT[]USIM[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_F1/F2[]USIM[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_F3/F4[]USIM[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Lainnya[]USIM[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]SUKSES_Bonus_Tidak_Masuk[]USIM[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Migrasi_DIPROSES[]USIM[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Migrasi_GAGAL[]USIM[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Paket[]ARP[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Recharge[]ARP[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]ARP_INIT[]ARP[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Paket_Tidak_Muncul[]ARP[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Harga_Tidak_Muncul[]ARP[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Lainnya[]ARP[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]ARP_DIPROSES[]ARP[]Request,,,
,,DIGIPOS,,,,"[]DIGIPOS[]Poin_ Belum_Masuk[]ARP[]Complaint",,,
,,DIGIPOS,,,,[]DIGIPOS[]SUKSES_Paket_Tidak_Masuk[]ARP[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Lokasi_Tidak_Ditemukan[]ARP[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Saldo_Terpotong_Double[]ARP[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]ARP_DIPROSES_BATCH[]ARP[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]ARP_GAGAL_BATCH[]ARP[]Request,,,
,,DIGIPOS,,,,"[]DIGIPOS[]Poin_ Belum_Masuk_BATCH[]ARP[]Complaint",,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Inject[]ARP[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Saldo_Terpotong[]ARP[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_NSP[]TrxLainnya[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Feature_Sales[]TrxLainnya[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Lainnya[]TrxLainnya[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Pencurian_pulsa[]TrxLainnya[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Loan[]TrxLainnya[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Perbedaan_Harga[]TrxLainnya[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_TopUp_Sales_Force[]TrxLainnya[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Perdana_Special[]TrxLainnya[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Poin_Tidak_Sesuai[]Digistar[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Redeem[]Digistar[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Poin_Tidak_Bertambah[]Digistar[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Sukses_Redeem_Saldo_Tidak_Bertambah[]Digistar[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Redeem_INIT[]Digistar[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Lainnya[]Digistar[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Redeem_Diproses[]Digistar[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Poin_Berkurang[]Digistar[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Aplikasi_Lemot[]Aplikasi[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Check_your_Internet_Connection[]Aplikasi[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Force_Closed[]Aplikasi[]Escalated,,,
,,DIGIPOS,,,,[]DIGIPOS[]Tidak_Dapat_Akses_Web[]Aplikasi[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_Aplikasi[]Aplikasi[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Lainnya[]Aplikasi[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Menu_Digistar[]Aplikasi[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Aplikasi_Tidak_Tersedia[]Aplikasi[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Menu[]Aplikasi[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Tidak_Dapat_Transaksi[]Aplikasi[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Double_Notifikasi_Trx[]Aplikasi[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Menu_Aplikasi_Tidak_Muncul[]Menu[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Tidak_dapat_pilih_menu[]Menu[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Login[]Login[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Lupa_Password[]Login[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Akun_Blocked[]Login[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Login_Code[]Login[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Reset_Password[]Login[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Kill_Session[]Login[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Change_Device_Login_Biometric[]Login[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Update_Device_Operating_System_Login_Biometric[]Login[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Otp_Tidak_Masuk[]Login[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Daily_Call_Issue[]DailyCall[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Event[]Event[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Reset_PIN[]PIN[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Tidak_Menerima_PIN[]PIN[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Laporan_Tidak_Muncul[]Report[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Unduh_Laporan[]Report[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Provide_data_trx[]Report[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_PPOB[]PPOB[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Sukses_Tidak_Dapat_Token[]PPOB[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]PPOB_Diproses[]PPOB[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Sukses_Masih_Ada_Tagihan[]PPOB[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Lainnya[]PPOB[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Tidak_Dapat_Cashback[]Cashback[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]KYC/Aktivasi_INIT[]KYC[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]NGRS_Not_Active[]KYC[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]LinkAja_Failed[]KYC[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]NGRS_Closed[]KYC[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]FINPAY_REJECTED[]KYC[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]FINPAY/Aktivasi_INIT[]KYC[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Cek_Saldo_Belum_Masuk[]Virtual_Account[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]No_VA_Tidak_Muncul[]Virtual_Account[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]No_VA_Muncul_Double[]Virtual_Account[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]empowring[]enpowring[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]SMS_Tidak_Masuk[]E_Voucher[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Kode_Voucher_Tidak_Masuk[]E_Voucher[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Transaksi_INIT[]E_Voucher[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Add_Whitelist_User[]Adita[]Request,,,
,,DIGIPOS,,,,[]DIGIPOS[]Perdana_Special_Belum_Diproses[]Perdana_Special[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_Perdana_Special[]Perdana_Special[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Inprogress_TopUp_EWallet_Dana[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Inprogress_TopUp_EWallet_Ovo[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Inprogress_TopUp_EWallet_Shopeepay[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Inprogress_TopUp_EWallet_LinkAja[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Inprogress_TopUp_EWallet_Gopay[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Init_TopUp_EWallet_Dana[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Init_TopUp_EWallet_Ovo[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Init_TopUp_EWallet_Shopeepay[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Init_TopUp_EWallet_LinkAja[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Init_TopUp_EWallet_Gopay[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Cek_Transaksi_TopUp_EWallet_Dana[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Cek_Transaksi_TopUp_EWallet_Ovo[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Cek_Transaksi_TopUp_EWallet_Shopeepay[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Cek_Transaksi_TopUp_EWallet_LinkAja[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Cek_Transaksi_TopUp_EWallet_Gopay[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_TopUp_EWallet_Dana[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_TopUp_EWallet_Ovo[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_TopUp_EWallet_Shopeepay[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_TopUp_EWallet_LinkAja[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Gagal_TopUp_EWallet_Gopay[]EWallet[]Complaint,,,
,,DIGIPOS,,,,[]DIGIPOS[]Transaksi_lainnya[]Salah_Assigne[]Request,,,
