kedb_parent_name,kedb_child_name,app_name,old_kedb,new_symtom_kedb,new_specific_symtom_kedb,kedb_finalisasi,action,responsibility_action,sop
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Gagal_Konfirmasi_Kontrak_PIC[]Resend_Email[]Complaint,,,
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Missed_Assigned[]Check_Result_Not_Found[]Complaint,,,
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Proses_CM_Approval[]Validate_Log_Error[]Complaint,,,
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Unable_Browse_Product[]Validate_Log_Error[]Complaint,,,
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Undefined[]Identify_Case[]Complaint,,,
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Update_Data_Company[]Update_Data[]Complaint,,,
,,COMMET,,,,[]COMMET[]Gagal_Add_Package[]Validate_Error[]Complaint,,,
,,COMMET,,,,[]COMMET[]Gagal_Call_Off_Net[]Check_Eligible_GroupID_And_BonusID[]Complaint,,,
,,COMMET,,,,[]COMMET[]Missed_Assigned[]Check_Result_Not_Found[]Complaint,,,
,,COMMET,,,,[]COMMET[]Undefined[]Identify_Case[]Complaint,,,
,,CUG,,,,[]CUG[]Change_Status_Renewal_Merchant[]Activated/Deactivated_Status[]Request,,,
,,CUG,,,,[]CUG[]Check_History_Transaction[]Request_Provide_Data_Report[]Request,,,
,,CUG,,,,[]CUG[]Community_Not_Registered[]Unsync_CUGGroupId[]Complaint,,,
,,CUG,,,,[]CUG[]Create_User_Access[]Create_User[]Request,,,
,,CUG,,,,[]CUG[]Disable_Package_Auto_Renewal[]Disable_Renewal_Merchant[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package[]Activation_Method_Not_Via_CUG_Channel[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package[]Failed_to_Get_Subscriber_Profiles[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package[]Gagal_Renewal_Merchant[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package[]New_Request_MSISDN_ADD[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package[]Not_Enough_Balance[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package[]Offer_Already_Active[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package[]Offer_Already_Active_Anomaly_TC[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package[]Price_Plan_DSC/MEA_Active_Unsync_TC[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package[]Subscriber_is_not_eligible_to_purchase_product[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package[]Timeout_to_RV[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package[]Validate_Anomaly_Escalate_L2[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package[]Validate_Eligible_Whitelist_Status[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_Package_Via_SMS[]Log_API_Status_NOK[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Add_QuoteId[]QuoteId_Already_Active[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Call_Off_Net[]Check_Eligible_GroupID_And_BonusID[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Call_On_Net[]Check_Eligible_GroupID_And_BonusID[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Remove_Package[]Offer_Status_Active_Unsync_TC[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Remove_Package[]Offer_Status_Inactive_Unsync_TC[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Remove_Package[]Remove_Process_Pending[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Remove_Package[]Status_Offer_Bundling_Anomaly_TC[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Remove_Package[]Validate_Error[]Complaint,,,
